NAME,VIEWERS,24H_PEAK,STEAM_PLAYERS
SUPERHOT VR,3,156,393
Marvel Puzzle Quest,0,15,393
Creeper World 3: Arc Eternal,0,1,393
Pro Cycling Manager 2018,0,31,393
Rec Room,21,33,392
OVERKILL's The Walking Dead,8,191,389
Life is Feudal: MMO,7,21,387
Wurm Unlimited,0,2,382
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,15,108,381
Closers,22,54,380
Spiral Knights,0,64,379
Star Trek Timelines,0,1,379
Dungeons 3,0,9,378
Life is Feudal: Forest Village,0,7,375
Spinnortality,40,59,374
Broforce,11,55,374
NOBUNAGA'S AMBITION: Taishi,0,3,374
Sven Co-op,0,9,373
Eastside Hockey Manager,0,1,369
Awesomenauts,17,53,365
Octodad: Dadliest Catch,15,102,365
Spelunky,13,"2,109",363
Stronghold 2,0,4,363
From The Depths,0,6,363
Catan Universe,0,8,362
Day of Infamy,0,70,359
AdventureQuest 3D,13,14,356
Ultimate Custom Night,0,2,355
"Warhammer 40,000: Gladius - Relics of War",0,16,354
Shadow Tactics: Blades of the Shogun,0,11,351
Vindictus,80,138,347
Everlasting Summer,2,85,343
Spintires,4,4,342
Pro Evolution Soccer 2017,1,9,339
Bejeweled 3,0,1,339
RIFT,5,9,338
Steep,87,114,337
Order of Battle: World War II,0,1,337
"Warhammer 40,000: Dawn of War - Dark Crusade",0,2,335
Sunless Sea,0,8,335
Onward,41,50,331
Tyranny,0,11,328
Mass Effect,50,132,325
Volcanoids,283,"1,005",324
Heroes of Hammerwatch,0,90,324
Just Cause 2,0,3,323
Tropico 4,0,6,323
Mass Effect 2,0,20,322
Albion Online,54,438,321
Desolate,22,39,318
Subsistence,64,116,316
Dungeon Defenders,17,39,316
MOBIUS FINAL FANTASY,0,18,314
Aura Kingdom,3,9,313
Metro 2033,0,20,312
Steel Division: Normandy 44,0,15,312
Hitman: Absolution,19,31,310
Armello,0,68,306
RPG Maker VX Ace,0,1,305
Coloring Pixels,0,9,303
Gang Beasts,54,249,302
Call of Duty: WWII,54,250,302
Medieval Engineers,0,2,299
Survarium,0,70,299
Soda Dungeon,0,1,299
Alien: Isolation,206,461,298
War Planet Online: Global Conquest,0,3,298
"Hot Dogs, Horseshoes & Hand Grenades",3,152,297
Star Conflict,0,2,296
Farming Simulator 15,0,5,296
